🧑‍🔬,biologist,chemist,physicist,engineer,scientist,,,,
👨‍🔬,biologist,chemist,man,engineer,physicist,scientist,male,,
👩‍🔬,biologist,chemist,physicist,engineer,scientist,woman,female,,
🧑‍💻,coder,developer,software,inventor,technologist,,,,
👨‍💻,coder,developer,man,inventor,software,technologist,male,,
👩‍💻,coder,developer,software,inventor,technologist,woman,female,,
🧑‍🎤,actor,entertainer,singer,rock,star,,,,
👨‍🎤,actor,entertainer,rock,man,singer,star,male,,
👩‍🎤,actor,entertainer,singer,rock,star,woman,female,,
🧑‍🎨,artist,palette,,,,,,,
👨‍🎨,artist,man,male,palette,,,,,
👩‍🎨,artist,palette,female,woman,,,,,
🧑‍✈,pilot,plane,,,,,,,
👨‍✈,man,pilot,male,plane,,,,,
👩‍✈,pilot,plane,female,woman,,,,,
🧑‍🚀,astronaut,rocket,,,,,,,
👨‍🚀,astronaut,man,male,rocket,,,,,
👩‍🚀,astronaut,rocket,female,woman,,,,,
🧑‍🚒,firefighter,firetruck,,,,,,,
👨‍🚒,firefighter,firetruck,male,man,,,,,
👩‍🚒,firefighter,firetruck,female,woman,,,,,
👮,cop,officer,police,,,,,,
👮‍♂,cop,man,police,officer,male,,,,
👮‍♀,cop,officer,woman,police,female,,,,
🕵,detective,sleuth,spy,,,,,,
🕵‍♂,detective,man,spy,sleuth,male,,,,
🕵‍♀,detective,sleuth,woman,spy,female,,,,
💂,guard,,,,,,,,
💂‍♂,guard,man,male,,,,,,
💂‍♀,guard,woman,female,,,,,,
🥷,fighter,hidden,stealth,ninja,,,,,
👷,construction,hat,worker,,,,,,
👷‍♂,construction,man,male,worker,,,,,
👷‍♀,construction,woman,female,worker,,,,,
🤴,prince,,,,,,,,
👸,fairy tale,fantasy,princess,,,,,,
👳,person wearing turban,turban,,,,,,,
👳‍♂,man,man wearing turban,male,turban,,,,,
👳‍♀,turban,woman,female,woman wearing turban,,,,,
👲,cap,gua pi mao,person,hat,person with skullcap,skullcap,,,
🧕,headscarf,hijab,tichel,mantilla,woman with headscarf,,,,
🤵,groom,person,tuxedo,person in tuxedo,,,,,
🤵‍♂,man,man in tuxedo,male,tuxedo,,,,,
🤵‍♀,tuxedo,woman,female,woman in tuxedo,,,,,
👰,bride,person,veil,person with veil,wedding,,,,
👰‍♂,man,man with veil,male,veil,,,,,
👰‍♀,veil,woman,female,woman with veil,,,,,
🤰,pregnant,woman,female,,,,,,
🤱,baby,breast,nursing,breast-feeding,,,,,
👩‍🍼,baby,feeding,woman,nursing,female,,,,
👨‍🍼,baby,feeding,nursing,man,male,,,,
🧑‍🍼,baby,feeding,person,nursing,,,,,
👼,angel,baby,fairy tale,face,fantasy,,,,
🎅,celebration,Christmas,father,claus,santa,Santa Claus,male,,
🤶,celebration,Christmas,mother,claus,Mrs.,Mrs. Claus,female,,
🧑‍🎄,"Claus, christmas",mx claus,,,,,,,
🦸,good,hero,superhero,heroine,superpower,,,,
🦸‍♂,good,hero,man superhero,man,superpower,male,,,
🦸‍♀,good,hero,superpower,heroine,woman,woman superhero,female,,
🦹,criminal,evil,supervillain,superpower,villain,,,,
🦹‍♂,criminal,evil,man supervillain,man,superpower,villain,male,,
🦹‍♀,criminal,evil,villain,superpower,woman,woman supervillain,female,,
🧙,mage,sorcerer,witch,sorceress,wizard,,,,
🧙‍♂,man mage,sorcerer,male,wizard,,,,,
🧙‍♀,sorceress,witch,female,woman mage,,,,,
